Current Attendence Sheet Data of FDN11513  |  All Type


-,2019-02-25-11:00:00-Lect-1H-ng,2019-02-28-08:00:00-Lect-2H-ng,2019-03-07-08:00:00-Lect-2H-ng,2019-03-11-11:00:00-Lect-1H-ng,2019-03-14-08:00:00-Lect-2H-ng,2019-03-18-11:00:00-Lect-1H-ng,2019-03-21-08:00:00-Lect-2H-ng,2019-03-25-11:00:00-Lect-1H-ng,2019-03-28-08:00:00-Lect-2H-ng,2019-04-01-11:00:00-Lect-1H-ng,2019-04-04-08:00:00-Lect-2H-ng,2019-04-08-11:00:00-Lect-1H-ng,2019-04-11-08:00:00-Lect-2H-ng,2019-05-16-08:00:00-Lect-2H-ng,2019-05-23-08:00:00-Lect-2H-ng,2019-05-27-11:00:00-Lect-1H-ng,2019-05-30-08:00:00-Lect-2H-ng,2019-06-03-11:00:00-Lect-1H-ng,2019-06-06-08:00:00-Lect-2H-ng,2019-06-10-11:00:00-Lect-1H-ng,2019-06-13-08:00:00-Lect-2H-ng,2019-06-17-11:00:00-Lect-1H-ng,2019-06-20-08:00:00-Lect-2H-ng,2019-06-24-11:00:00-Lect-1H-ng,2019-06-27-08:00:00-Lect-2H-ng,2019-07-01-11:00:00-Lect-1H-ng,%
HS/2018/16731,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,40 %,
HS/2018/16732,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,63 %,
HS/2018/16733,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,55 %,
HS/2018/16734,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,53 %,
HS/2018/16735,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,63 %,
HS/2018/16736,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,55 %,
HS/2018/16737,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,63 %,
HS/2018/16738,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,35 %,
HS/2018/16739,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,63 %,
HS/2018/16740,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,60 %,
HS/2018/16741,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,45 %,
HS/2018/16742,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,58 %,
HS/2018/16743,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45 %,
HS/2018/16744,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,33 %,
HS/2018/16745,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,48 %,
HS/2018/16746,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,40 %,
HS/2018/16747,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,53 %,
HS/2018/16748,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,45 %,
HS/2018/16749,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,48 %,
HS/2018/16750,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,40 %,
HS/2018/16751,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,43 %,
HS/2018/16752,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,48 %,
HS/2018/16753,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,53 %,
HS/2018/16754,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,28 %,
HS/2018/16755,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,48 %,
HS/2018/16756,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,50 %,
HS/2018/16757,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,53 %,
