Current Attendence Sheet Data of FDN11523  |  All Type


-,2019-02-25-09:00:00-Lect-2H-ng,2019-02-25-16:00:00-Prac-2H-FEB5-A,2019-02-27-15:00:00-Prac-2H-FEB5-B,2019-02-28-14:00:00-Prac-2H-FEB5-C,2019-03-01-16:00:00-Prac-2H-MAR1-D,2019-03-06-15:00:00-Prac-2H-MAR2-B,2019-03-07-14:00:00-Prac-2H-MAR2-C,2019-03-08-16:00:00-Prac-2H-MAR2-D,2019-03-11-09:00:00-Lect-2H-ng,2019-03-11-14:00:00-Prac-2H-MAR3-A,2019-03-13-15:00:00-Prac-2H-MAR3-B,2019-03-14-14:00:00-Prac-2H-MAR3-C,2019-03-15-16:00:00-Prac-2H-MAR3-D,2019-03-18-09:00:00-Lect-2H-ng,2019-03-18-16:00:00-Prac-2H-MAR4-A,2019-03-21-14:00:00-Prac-2H-MAR4-C,2019-03-22-16:00:00-Prac-2H-MAR4-D,2019-03-25-09:00:00-Lect-2H-ng,2019-03-25-16:00:00-Prac-2H-MAR5-A,2019-03-27-15:00:00-Prac-2H-MAR5-B,2019-03-28-14:00:00-Prac-2H-MAR5-C,2019-03-29-16:00:00-Prac-2H-MAR5-D,2019-04-01-09:00:00-Lect-2H-ng,2019-04-01-16:00:00-Prac-2H-APR1-A,2019-04-03-15:00:00-Prac-2H-APR1-B,2019-04-04-14:00:00-Prac-2H-APR1-C,2019-04-05-16:00:00-Prac-2H-APR1-D,2019-04-08-09:00:00-Lect-2H-ng,2019-04-08-16:00:00-Prac-2H-APR2-A,2019-04-10-15:00:00-Prac-2H-APR2-B,2019-05-22-15:00:00-Prac-2H-MAY4-B,2019-05-23-14:00:00-Prac-2H-MAY4-C,2019-05-24-16:00:00-Prac-2H-MAY4-D,2019-05-27-09:00:00-Lect-2H-ng,2019-05-27-16:00:00-Prac-2H-MAY5-A,2019-05-29-15:00:00-Prac-2H-MAY5-B,2019-05-30-14:00:00-Prac-2H-MAY5-C,2019-05-31-16:00:00-Prac-2H-MAY5-D,2019-06-03-09:00:00-Lect-2H-ng,2019-06-03-16:00:00-Prac-2H-JUN2-A,2019-06-06-14:00:00-Prac-2H-JUN2-C,2019-06-07-16:00:00-Prac-2H-JUN2-D,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-16:00:00-Prac-2H-JUN3-A,2019-06-12-15:00:00-Prac-2H-JUN3-B,2019-06-13-14:00:00-Prac-2H-JUN3-C,2019-06-14-16:00:00-Prac-2H-JUN3-D,2019-06-17-09:00:00-Lect-2H-ng,2019-06-17-16:00:00-Prac-2H-JUN4-A,2019-06-19-15:00:00-Prac-2H-JUN4-B,2019-06-20-14:00:00-Prac-2H-JUN4-C,2019-06-21-16:00:00-Prac-2H-JUN4-D,2019-06-24-09:00:00-Lect-2H-ng,2019-06-24-16:00:00-Prac-2H-JUN5-A,2019-06-26-15:00:00-Prac-2H-JUN5-B,2019-06-27-14:00:00-Prac-2H-JUN5-C,2019-06-28-16:00:00-Prac-2H-JUN5-D,2019-07-01-16:00:00-Prac-2H-JULY1-A,%
HS/2018/16840,0,1, ,0, , ,1, ,1, , ,0, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,0, ,0, ,0,1,0, , ,0, ,1, , ,0, ,0, , ,0, , ,42 %,
HS/2018/16841,0, , ,1, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,1, , ,54 %,
HS/2018/16842,0, , ,0,1, ,0, ,1, , ,1, ,0, ,1, ,0, , ,0, ,1, , ,0, ,0, , , ,1, ,0, , ,0, ,0, ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, , ,38 %,
HS/2018/16843,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,46 %,
HS/2018/16844,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16845,0, , ,1, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,1, , ,50 %,
HS/2018/16846,0, , ,1, , ,1, ,1, , ,1, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,46 %,
HS/2018/16847,0, , ,0,1, ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,50 %,
HS/2018/16848,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,1, , , ,31 %,
HS/2018/16849,0, , ,0, , ,1, ,0, , ,0, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,42 %,
HS/2018/16850,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,0,1, ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,50 %,
HS/2018/16851,0, , ,0, , ,1, ,0, , ,1, ,1, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,46 %,
HS/2018/16852,0, , ,1, , ,1, ,0, , ,1, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,1, , ,42 %,
HS/2018/16853,0,1, ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, , ,65 %,
HS/2018/16854,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,50 %,
HS/2018/16855,0,1, ,0,1, ,0, ,1, , ,1, ,1, ,1, ,0, , ,0, ,0, , ,0, ,1, , , ,0, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,46 %,
HS/2018/16856,0, , ,1, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,0, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,46 %,
HS/2018/16857,0, , ,0, , ,1, ,1, , ,0, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,1, , ,0, ,0, , ,0, ,0, , ,0, , ,38 %,
HS/2018/16858,0,1, ,0, , ,1, ,0, , ,1, ,1, ,1, ,0, , ,0, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,50 %,
HS/2018/16859,0, , ,0, , ,1, ,1, , ,1, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,35 %,
HS/2018/16860,0,1, ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,54 %,
HS/2018/16861,0, , ,1, , ,1, ,0, , ,0, ,1, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,42 %,
HS/2018/16862,0, , ,1, , ,1, ,1, , ,1, ,1, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, , ,58 %,
HS/2018/16863,0, , ,0, , ,1, ,1, , ,0, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,0, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,42 %,
HS/2018/16864,0, , ,0, , ,1, ,1, , ,0, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,1, , ,38 %,
HS/2018/16865,0, , ,0,1, ,1, ,1, , ,1, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,38 %,
HS/2018/16866,0, , ,0,1, ,0, ,0, , ,1, ,0, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,38 %,
HS/2018/16867,0, , ,0,1, ,0, ,1, , ,1, ,1, ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16868,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,1, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,31 %,
HS/2018/16869,0, ,0, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,15 %,
HS/2018/16870,0, , ,0,1, ,1, ,1, , ,1, ,1, ,1, ,0, , ,0, ,1, , ,0, ,1, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,38 %,
HS/2018/16871,0, , ,0, , ,0, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,42 %,
HS/2018/16872,0, ,1,0, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,42 %,
HS/2018/16873,0, , ,1, , ,0, ,0, , ,1, ,1, ,1, ,0, , ,0, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,0, , ,1, , ,42 %,
HS/2018/16874,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,1, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,38 %,
HS/2018/16875,0, ,0,1, ,1, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,1, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,38 %,
HS/2018/16876,0, , ,0,1, ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,1, , ,0, ,1, , ,1, ,0, , ,0, , ,54 %,
HS/2018/16877,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16878,0, ,0, , ,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,12 %,
HS/2018/16879,0, , ,1, , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,12 %,
HS/2018/16880,0, ,1,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,54 %,
HS/2018/16881,0, , ,0,1, ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,54 %,
HS/2018/16882,0, , ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,0, ,0, ,0, ,1, , ,0, ,0, , ,1, ,1, , ,0, , ,46 %,
HS/2018/16883,0, , ,0, , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,0, , ,19 %,
HS/2018/16884,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,1, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16885,0, ,0, ,1,1, , ,1, ,0, , ,1, , , ,0, ,0, , ,1, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16886,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,35 %,
HS/2018/16887,0,1, ,0, , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,1, , ,35 %,
HS/2018/16888,0, , , , , , , ,1, , , , ,0, , , ,0, , , , ,1, , , , ,1, , , , , ,1, , , , ,0, , , ,0, , , , ,1, , , , ,0, , , , , ,19 %,
HS/2018/16889,0, , ,0,1, ,1, ,1, , ,1, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, , ,42 %,
HS/2018/16890,0, , ,1, , ,1, ,0, , ,1, ,0, ,0, ,0, , ,1, ,1, , ,0, ,0, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,38 %,
HS/2018/16891,0, , ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,54 %,
HS/2018/16892,0, , ,0,1, ,1, ,1, , ,1, ,0, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,38 %,
HS/2018/16893,0, , ,0,1, ,0, ,1, , ,1, ,0, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , ,0, , ,31 %,
HS/2018/16894,0, , ,0,1, ,0, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,42 %,
HS/2018/16895,0, ,0, ,1,1, , ,1, ,0, , ,1, , , ,0, ,0, , ,0, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16896,0, , ,0,1, ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,1, , ,50 %,
HS/2018/16897,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,46 %,
HS/2018/16898,0, , ,0, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,46 %,
HS/2018/16899,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,1, , ,0, ,1, , ,0, ,1, , ,0, , ,46 %,
HS/2018/16900,0, , ,1, , ,1, ,1, , ,0, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,0, , ,0, ,0, ,0, ,1, , ,0, ,1, , ,1, ,1, , ,0, , ,50 %,
HS/2018/16901,0, , ,0, , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,31 %,
HS/2018/16902,0, , ,0,1, ,0, ,0, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,0, ,0, ,0, ,1, , ,0, ,0, , ,1, ,1, , ,0, , ,38 %,
HS/2018/16903,0, , , , , , , ,0, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,0, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,0 %,
HS/2018/16904,0, ,0, ,1,1, , ,1, ,1, , ,0, , , ,0, ,0, , ,0, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16905,0, , ,0, , ,0, ,1, , ,0, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16906,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0,1, ,1, ,1, , , ,35 %,
HS/2018/16907,0,1, ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,42 %,
HS/2018/16908,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,0, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,35 %,
HS/2018/16909,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,46 %,
HS/2018/16910,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,35 %,
HS/2018/16911,0, , ,0,1, ,0, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,31 %,
HS/2018/16912,0, , ,0, , ,0, ,0, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,35 %,
HS/2018/16913,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,46 %,
HS/2018/16914,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,50 %,
HS/2018/16915,0, , ,0,1, ,0, ,1, , ,1, ,1, ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16916,0, , ,0,1, ,1, ,0, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16917,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,31 %,
HS/2018/16918,0, , ,1, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,0, , ,0, , ,38 %,
HS/2018/16919,0, ,0, , ,1, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,38 %,
HS/2018/16920,0, , ,1, , ,1, ,0, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,0, , ,27 %,
HS/2018/16921,0, , ,0,1, ,0, ,0, , ,0, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,23 %,
HS/2018/16922,0, ,1,0,1, ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,1, , ,0, ,1, , ,1, ,0, , ,0, , ,50 %,
HS/2018/16923,0, , ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,50 %,
HS/2018/16924,0, , ,0,1, ,0, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,50 %,
HS/2018/16925,0, , ,0, , ,1, ,0, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16926,0, , ,1, , ,1, ,0, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,50 %,
HS/2018/16927,0, ,1,0, , ,1, ,0, , ,0, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,50 %,
HS/2018/16928,0,1,0, , ,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,15 %,
HS/2018/16929,0, ,1,0, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,27 %,
HS/2018/16930,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,31 %,
HS/2018/16932,0, , ,1, , ,0, ,0, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,38 %,
HS/2018/16933,0, , ,1, , ,1, ,0, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,0, , ,1, ,0, ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, , ,54 %,
HS/2018/16936,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,1, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16937,0, , ,1, , ,0, ,0, , ,0, ,1, ,0, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,1, , ,0, ,0, , ,1, ,0, , ,0, , ,38 %,
HS/2018/16938,0, ,0, , ,0, , ,0, ,1, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,12 %,
HS/2018/16939,0, , ,0, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,50 %,
HS/2018/16940,0,1, , , , , , ,0,0, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,0, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,8 %,
HS/2018/16941,0,1, , ,0, , ,0,1, , , ,1,1, , ,1,0, , , ,1,1, , , ,0,1, , , , ,1,1, , , ,1,0, , ,1,0, , , ,0,1, , , ,0,0, , , ,0, ,50 %,
HS/2018/16942,0, , , ,0, , ,0,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,1, , , , ,1,1, , , ,0,0, , ,1,1, , , ,0,1, , , ,0,0, , , ,1, ,42 %,
HS/2018/16943,0, , ,1,0, , ,0,1, , , ,0,0, , ,1,0, , , ,0,0, , , ,1,1, , , , ,0,1, , , ,1,0, , ,1,0, , , ,0,1, , , ,0,1, , , ,0, ,38 %,
HS/2018/16944,0, , ,1,0, , ,0,0, , , ,1,1, , ,1,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,1,0, , ,1,0, , , ,0,0, , , ,0,1, , , ,1, ,38 %,
HS/2018/16945,0, ,0, ,1,0, , ,0, ,1, , ,0, , , ,0, ,0, , ,0, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,19 %,
HS/2018/16946,0, , , ,1, , ,0,1, , , ,0,1, , ,1,0, , , ,1,1, , , ,0,1, , , , ,0,0, , , ,1,0, , ,0,0, , , ,0,1, , ,1,0,1, , , ,0, ,42 %,
HS/2018/16947,0, , ,1,0, , ,0,1, , , ,1,1, , ,1,0, , , ,1,1, , , ,0,1, , , , ,1,1, , , ,1,0, , ,0,0, , , ,0,1, , , ,0,1, , , ,0, ,50 %,
HS/2018/16948,0, ,0, , ,1, , ,1, ,1, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
