Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16821,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16822,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16824,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16826,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16827,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16830,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16834,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,82 %,
HS/2018/16836,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,73 %,
HS/2018/16838,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16839,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,82 %,
HS/2018/16840,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16841,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16843,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,85 %,
HS/2018/16845,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16846,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16848,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16849,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16853,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16854,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16856,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16857,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16859,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
