Current Attendence Sheet Data of FDN12523  |  All Type


-,2019-07-29-09:00:00-Lect-2H-ng,2019-07-29-15:00:00-Prac-2H-JULY5-A,2019-07-30-16:00:00-Prac-2H-JULY5-B,2019-08-01-15:00:00-Prac-2H-JULY5-C,2019-08-02-15:00:00-Prac-2H-JULY5-D,2019-08-05-09:00:00-Lect-2H-ng,2019-08-05-15:00:00-Prac-2H-AUG2-A,2019-08-06-16:00:00-Prac-2H-AUG2-B,2019-08-08-15:00:00-Prac-2H-AUG2-C,2019-08-09-15:00:00-Prac-2H-AUG2-D,2019-08-12-09:00:00-Lect-2H-ng,2019-08-12-15:00:00-Prac-2H-AUG3-A,2019-08-13-16:00:00-Prac-2H-AUG3-B,2019-08-15-15:00:00-Prac-2H-AUG3-C,2019-08-16-15:00:00-Prac-2H-AUG3-D,2019-08-19-09:00:00-Lect-2H-ng,2019-08-19-15:00:00-Prac-2H-AUG4-A,2019-08-20-16:00:00-Prac-2H-AUG4-B,2019-08-22-15:00:00-Prac-2H-AUG4-C,2019-08-23-15:00:00-Prac-2H-AUG4-D,2019-12-09-09:00:00-Lect-2H-ng,2019-12-09-15:00:00-Prac-2H-DEC2-A,2019-12-10-16:00:00-Prac-2H-DEC2-B,2019-12-12-15:00:00-Prac-2H-DEC2-C,2019-12-13-15:00:00-Prac-3H-DEC2-D,2019-12-16-09:00:00-Lect-2H-ng,2019-12-16-15:00:00-Prac-2H-DEC3-A,2019-12-17-16:00:00-Prac-2H-DEC3-B,2019-12-19-15:00:00-Prac-2H-DEC3-C,2019-12-20-15:00:00-Prac-3H-DEC3-D,2019-12-23-09:00:00-Lect-2H-ng,2019-12-23-15:00:00-Prac-2H-DEC4-A,2019-12-24-16:00:00-Prac-2H-DEC4-B,2019-12-26-15:00:00-Prac-2H-DEC4-C,2019-12-30-09:00:00-Lect-2H-ng,2019-12-30-15:00:00-Assi-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-15:00:00-Prac-2H-JAN2-A,2020-01-07-16:00:00-Prac-2H-JAN2-B,2020-01-09-15:00:00-Prac-2H-JAN2-C,2020-01-10-09:00:00-Prac-2H-JAN2-D,2020-01-13-09:00:00-Lect-2H-ng,2020-01-13-15:00:00-Prac-2H-JAN3-A,2020-01-14-16:00:00-Prac-2H-JAN3-B,2020-01-16-15:00:00-Prac-2H-JAN3-C,2020-01-17-09:00:00-Prac-2H-JAN3-D,2020-01-20-09:00:00-Lect-2H-ng,2020-01-20-15:00:00-Prac-2H-JAN4-A,2020-01-21-16:00:00-Prac-2H-JAN4-B,2020-01-23-15:00:00-Prac-2H-JAN4-C,2020-01-24-09:00:00-Prac-2H-JAN4-D,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-15:00:00-Assi-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-03-15:00:00-Prac-2H-FEB1-A,2020-02-04-16:00:00-Prac-2H-FEB1-B,2020-02-06-15:00:00-Prac-2H-FEB1-C,2020-02-07-09:00:00-Prac-2H-FEB1-D,2020-02-10-09:00:00-Lect-2H-ng,2020-02-10-15:00:00-Prac-2H-FEB2-A,2020-02-11-16:00:00-Prac-2H-FEB2-B,2020-02-13-15:00:00-Prac-2H-FEB2-C,2020-02-14-09:00:00-Prac-2H-FEB2-D,2020-02-17-09:00:00-Lect-2H-ng,2020-02-17-15:00:00-Prac-2H-FEB3-A,2020-02-18-16:00:00-Prac-2H-FEB3-B,2020-02-20-15:00:00-Prac-2H-FEB3-C,2020-02-21-09:00:00-Prac-2H-FEB3-D,%
HS/2018/16890,M, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16891,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,83 %,
HS/2018/16892,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,0,1,1, , ,0, ,1, , ,0, ,0, , ,0, ,63 %,
HS/2018/16893,0, , ,0, ,0, , ,0, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,0, , ,0, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,0,1,0, , ,0, ,0, , ,0, ,1, , ,0, ,50 %,
HS/2018/16894,M, , ,1, ,M, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,0, , ,0, ,1,1,0, , ,1, ,1, , ,0,1,1, , ,1, ,83 %,
HS/2018/16895,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,0, ,1, , ,0, ,1, , ,1, ,1, , ,83 %,
HS/2018/16896,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,83 %,
HS/2018/16897,1, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,77 %,
HS/2018/16898,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,93 %,
HS/2018/16899,1, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,90 %,
HS/2018/16900,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,0,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,87 %,
HS/2018/16901,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,83 %,
HS/2018/16902,0, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,0,1,1, , ,1, ,1, , ,1, ,0, , ,1, ,77 %,
HS/2018/16904,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,0,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16905,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,0, , ,1, ,1, , ,1, ,0, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16906,1, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,0, , ,M, ,1, , ,1, ,0, , ,1, ,0, ,1,1,1, ,0, , ,0, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,0, , ,M, ,1, , ,70 %,
HS/2018/16907,0, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16908,1, , ,1, ,0, , ,1, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,1,1,0, , ,0, ,1, , ,0, ,1, , ,0, ,60 %,
HS/2018/16909,0, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,0,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16910,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,M, , ,0, ,M,1,M, , ,1, ,M, , ,0, ,M, , ,0, ,80 %,
HS/2018/16911,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0,1,1,1,1, , ,1, ,1, , ,0, ,0, , ,1, ,80 %,
HS/2018/16912,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16913,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,1, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16914,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,0, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,0, , ,1, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16915,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,77 %,
HS/2018/16916,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,1, ,83 %,
HS/2018/16917,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,90 %,
HS/2018/16918,M, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,M,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16919,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,97 %,
HS/2018/16920,1, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,0, , ,0, ,1, , ,0, ,63 %,
HS/2018/16921,1, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16922,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,0, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16923,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1,1, ,1, ,1, , ,1, ,0,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16924,0, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16925,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16926,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,0, , ,1, ,1, , ,1, ,1,1,0, , ,1, ,1, , ,1, ,1, , ,0, ,80 %,
HS/2018/16927,0, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16928,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,87 %,
HS/2018/16929,0, , ,0, ,1, , ,1, ,1, , ,0, ,0, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,77 %,
HS/2018/16930,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,90 %,
HS/2018/16932,E, , ,1, ,M, , ,1, ,1, , ,0, ,1, , ,0, ,M, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,M, , ,0, ,M, , ,0, ,1, , ,0, ,80 %,
HS/2018/16933,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,0,1,1, , ,1, ,1, , ,1, ,0, , ,1, ,77 %,
HS/2018/16936,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,93 %,
HS/2018/16937,1, , ,0, ,1,1, ,0, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1,1,1,0, , ,1, ,1, , ,0, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16938,1, ,1, , ,M, ,1, , ,1, ,1, , ,1, ,1, , ,M, ,1, , ,1, ,1, , ,1, ,1, ,0,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,0,1,M, ,1, , ,M,1,1, , ,0, ,1, , ,90 %,
HS/2018/16939,0, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,77 %,
HS/2018/16940,0, , , ,0,1, , , ,0,1, , , ,0,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,1,0, , , ,0,0,1,1, , , ,1,0, , , ,0,1, , , ,1,67 %,
HS/2018/16941,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,0,1, , , ,1,1, , , ,0,1, , , ,1,1,1, , , ,1,1, , , ,1,1, , , ,1,0,1,0, , , ,1,1, , , ,1,1, , , ,1,82 %,
HS/2018/16942,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,0,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,0,1, , , ,1,1, , , ,1,90 %,
HS/2018/16943,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,0,1, , , ,1,90 %,
HS/2018/16944,0, , , ,1,1, , , ,0,1, , , ,0,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,0,1, , , ,1,0,1,1, , , ,0,1, , , ,0,1, , , ,1,73 %,
HS/2018/16945,1, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,0, ,0, , ,1, ,0, , ,0, ,0, ,1,1,0, ,1, , ,0, ,0, , ,1, ,1, , ,0,1,0, ,1, , ,0, ,0, , ,0, ,0, , ,47 %,
HS/2018/16946,1, , , ,1,0, , ,1,0,1, , , ,1,0, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,90 %,
HS/2018/16947,1, , , ,1,1, , , ,0,1, , , ,0,1, , , ,0,1, , , ,0,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,85 %,
HS/2018/16948,M,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,M,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,90 %,
HS/2018/16949,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,1,1, , , ,1,1, , , ,1,0,1,1, , , ,1,1, , , ,0,1, , , ,1,87 %,
HS/2018/16950,0, , , ,1,1, , , ,1,1, , , ,0,1, , , ,0,1, , , ,1,1, , , ,1,1, ,
