Current Attendence Sheet Data of SOC11513  |  All Type


-,2019-02-26-13:00:00-Lect-1H-ng,2019-02-28-10:00:00-Lect-2H-ng,2019-03-05-13:00:00-Lect-1H-ng,2019-03-07-10:00:00-Lect-2H-ng,2019-03-12-13:00:00-Lect-1H-ng,2019-03-14-10:00:00-Lect-2H-ng,2019-03-19-13:00:00-Lect-1H-ng,2019-03-21-10:00:00-Lect-2H-ng,2019-03-26-13:00:00-Lect-1H-ng,2019-03-28-10:00:00-Lect-1H-ng,2019-04-02-13:00:00-Lect-1H-ng,2019-04-04-10:00:00-Lect-2H-ng,2019-05-07-13:00:00-Lect-1H-ng,2019-05-21-13:00:00-Lect-1H-ng,2019-05-23-10:00:00-Lect-2H-ng,2019-05-28-13:00:00-Lect-1H-ng,2019-06-04-13:00:00-Lect-1H-ng,2019-06-06-10:00:00-Lect-2H-ng,2019-06-11-13:00:00-Lect-1H-ng,2019-06-13-10:00:00-Lect-2H-ng,2019-06-18-13:00:00-Lect-1H-ng,2019-06-20-10:00:00-Lect-2H-ng,2019-06-25-13:00:00-Lect-1H-ng,%
HS/2018/16888,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,50 %,
HS/2018/16889,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,38 %,
HS/2018/16890,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,56 %,
HS/2018/16891,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,75 %,
HS/2018/16893,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,66 %,
HS/2018/16894,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,63 %,
HS/2018/16896,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,69 %,
HS/2018/16898,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,75 %,
HS/2018/16899,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,53 %,
HS/2018/16902,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,63 %,
HS/2018/16904,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,56 %,
HS/2018/16905,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,47 %,
HS/2018/16906,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,44 %,
HS/2018/16907,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,63 %,
HS/2018/16909,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,66 %,
HS/2018/16911,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,59 %,
HS/2018/16912,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,69 %,
HS/2018/16914,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,63 %,
HS/2018/16915,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,56 %,
HS/2018/16916,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,63 %,
HS/2018/16920,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34 %,
HS/2018/16921,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,50 %,
HS/2018/16922,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,63 %,
HS/2018/16924,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,66 %,
HS/2018/16925,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,69 %,
HS/2018/16926,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,63 %,
